SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
192841,Cash loans,M,Y,N,1,157500,454500,16452,454500,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.020246,-11668,-1103,-5751,-3578,1,1,1,1,1,0,3,3,3,TUESDAY,8,0,1,1,0,1,1,Emergency,0.262622391,,3,0,3,0,-1065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
435619,Cash loans,M,Y,N,1,157500,436032,21339,360000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018634,-16502,-2105,-8763,-60,1,1,0,1,0,0,2,2,2,FRIDAY,15,0,0,0,0,0,0,Business Entity Type 3,0.503030507,0.448962273,0,0,0,0,-320,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
235324,Cash loans,M,N,Y,0,184500,592560,32274,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.007305,-16258,-927,-4588,-4374,1,1,1,1,0,0,2,3,3,FRIDAY,7,0,0,0,0,1,1,Business Entity Type 3,0.468510562,0.661023539,0,0,0,0,-430,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220460,Cash loans,F,N,N,2,180000,521280,41926.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018801,-10916,-586,-26,-2452,1,1,0,1,0,0,4,2,2,WEDNESDAY,13,0,0,0,1,1,0,Industry: type 4,0.065938208,0.156639827,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202287,Cash loans,F,N,N,0,135000,598486.5,21627,454500,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.00823,-16053,-916,-5109,-5110,1,1,0,1,0,0,2,2,2,THURSDAY,12,0,0,0,1,1,0,Restaurant,0.756623688,0.691021227,0,0,0,0,-102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
374554,Cash loans,M,N,Y,0,112500,659610,24363,472500,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.02461,-19790,-1861,-3584,-2388,1,1,0,1,0,0,1,2,2,FRIDAY,10,0,0,0,0,0,0,Construction,0.213944557,,1,0,1,0,-2482,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
378503,Cash loans,F,N,Y,0,148500,364230,23679,337500,,Pensioner,Secondary / secondary special,Widow,House / apartment,0.018634,-24872,365243,-6699,-5081,1,0,0,1,0,0,1,2,2,WEDNESDAY,11,0,0,0,0,0,0,XNA,0.506911599,0.2692858,0,0,0,0,-1277,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
271271,Revolving loans,F,N,Y,0,112500,180000,9000,180000,Unaccompanied,State servant,Secondary / secondary special,Single / not married,House / apartment,0.026392,-7766,-423,-1952,-250,1,1,0,1,0,0,1,2,2,THURSDAY,9,0,0,0,0,1,1,Medicine,0.300680543,,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
306108,Cash loans,M,N,Y,0,211500,327024,15372,270000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.005313,-16383,-133,-10846,-301,1,1,1,1,0,0,1,2,2,TUESDAY,12,0,1,1,0,1,1,Business Entity Type 2,0.453422696,0.180887978,0,0,0,0,-298,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
180706,Cash loans,F,Y,N,0,90000,1546020,45333,1350000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-10705,-366,-3337,-1664,1,1,1,1,0,0,2,3,3,FRIDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.265303224,0.372333666,0,0,0,0,-894,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
199012,Cash loans,F,N,Y,0,148500,508495.5,26091,454500,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.0105,-16339,-510,-5761,-4150,1,1,0,1,0,0,2,3,3,WEDNESDAY,9,0,0,0,1,1,0,Business Entity Type 3,0.088862807,0.447178578,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
119706,Cash loans,F,N,Y,0,157500,728460,38938.5,675000,Unaccompanied,Pensioner,Higher education,Separated,House / apartment,0.019101,-21094,365243,-6712,-3615,1,0,0,1,0,0,1,2,2,FRIDAY,15,0,0,0,0,0,0,XNA,0.658506849,0.384206813,2,0,2,0,-2495,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
298071,Cash loans,F,N,Y,1,90000,254700,20250,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019689,-11589,-1035,-3500,-3498,1,1,0,1,0,0,3,2,2,WEDNESDAY,7,0,0,0,0,0,0,Self-employed,0.076039004,,2,0,2,0,-175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
234274,Cash loans,M,Y,N,0,247500,446931,17941.5,369000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.016612,-16529,-1635,-2449,-87,1,1,0,1,0,0,2,2,2,FRIDAY,9,0,0,0,0,0,0,Telecom,0.580591092,,0,0,0,0,-373,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
320215,Cash loans,F,N,N,0,180000,254700,14751,225000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018801,-23877,365243,-4808,-4570,1,0,0,1,1,0,2,2,2,MONDAY,12,0,0,0,0,0,0,XNA,0.108871537,0.309275356,4,0,4,0,-728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
175482,Revolving loans,F,N,Y,0,103500,202500,10125,202500,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.015221,-10419,-1023,-4500,-2480,1,1,1,1,1,0,2,2,2,FRIDAY,9,0,0,0,1,1,0,Business Entity Type 3,0.028012403,,1,0,1,0,-1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
291853,Cash loans,M,Y,N,0,148500,390960,21208.5,337500,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.003813,-11762,-1388,-6157,-3531,1,1,0,1,0,0,2,2,2,THURSDAY,13,0,0,0,1,1,0,Industry: type 3,0.621191478,0.210350229,6,1,6,0,-244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
323914,Cash loans,F,Y,N,0,180000,990000,28944,990000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.005144,-22542,365243,-2914,-3872,1,0,0,1,1,0,2,2,2,TUESDAY,18,0,0,0,0,0,0,XNA,0.454880925,0.1585549,0,0,0,0,-359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
197371,Cash loans,F,Y,N,2,243000,269550,18364.5,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010006,-11862,-1770,-526,-1577,1,1,0,1,0,0,4,2,2,WEDNESDAY,15,0,0,0,0,0,0,Other,0.747127309,0.082268508,2,0,2,0,-898,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
216712,Cash loans,M,N,Y,0,270000,382500,19660.5,382500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-16002,-6152,-11,-61,1,1,0,1,0,0,2,2,2,TUESDAY,14,0,1,1,0,1,1,Business Entity Type 3,0.364524693,0.493862882,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394121,Cash loans,F,Y,N,0,180000,253737,24849,229500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-18875,-2885,-704,-2404,1,1,0,1,0,0,2,3,3,MONDAY,13,0,0,0,0,0,0,Business Entity Type 3,0.652829409,0.598926218,0,0,0,0,-2067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139133,Cash loans,M,N,Y,0,180000,521280,47938.5,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.010032,-9753,-400,-1798,-2008,1,1,0,1,1,0,1,2,2,MONDAY,9,0,0,0,0,0,0,Self-employed,0.154470953,0.576208836,0,0,0,0,-11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
240016,Cash loans,M,Y,Y,1,180000,521280,28278,450000,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.018634,-10704,-3728,-2935,-3354,1,1,0,1,0,0,3,2,2,THURSDAY,18,0,0,0,0,0,0,Electricity,0.161098611,0.73098737,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
220145,Cash loans,F,N,N,0,112500,630000,35176.5,630000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.003122,-19113,-3102,-2083,-2343,1,1,1,1,0,0,2,3,3,MONDAY,10,0,0,0,0,1,1,Trade: type 6,0.732130157,0.207964174,0,0,0,0,-1686,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
339375,Cash loans,M,N,Y,1,171000,436500,34614,436500,Group of people,Working,Secondary / secondary special,Civil marriage,Rented apartment,0.028663,-13796,-1357,-4773,-1058,1,1,0,1,0,0,3,2,2,THURSDAY,13,0,0,0,0,1,1,Transport: type 4,0.547242129,,2,1,2,1,-262,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
319844,Cash loans,M,N,Y,0,157500,1321902,38650.5,1035000,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,0.022625,-8395,-921,-3290,-901,1,1,0,1,0,0,2,2,2,TUESDAY,12,0,0,0,0,0,0,Transport: type 2,0.182774868,,0,0,0,0,-418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
283378,Revolving loans,F,N,Y,1,112500,270000,13500,270000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00496,-13820,-255,-7491,-5072,1,1,0,1,0,0,3,2,2,SATURDAY,16,0,0,0,0,0,0,Industry: type 4,0.281109539,0.091411994,0,0,0,0,-916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324408,Cash loans,F,N,Y,0,135000,1046142,30717,913500,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.008474,-21720,365243,-4272,-4280,1,0,0,1,0,0,2,2,2,FRIDAY,14,0,0,0,0,0,0,XNA,0.123542176,0.684827659,1,0,1,0,-1574,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129498,Cash loans,F,N,Y,0,103500,837000,24471,837000,Unaccompanied,Pensioner,Higher education,Single / not married,House / apartment,0.025164,-20674,365243,-8013,-4220,1,0,0,1,0,0,1,2,2,TUESDAY,14,0,0,0,0,0,0,XNA,0.057406669,0.76623367,0,0,0,0,-1305,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
265318,Cash loans,M,N,Y,0,270000,254700,20119.5,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-10399,-2073,-4481,-2488,1,1,1,1,1,0,2,2,2,FRIDAY,16,0,0,0,1,1,0,Self-employed,0.349581624,0.231439351,2,0,2,0,-803,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
251641,Cash loans,M,N,Y,0,202500,143910,15628.5,135000,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.015221,-11266,-2302,-7397,-2525,1,1,1,1,0,0,2,2,2,SATURDAY,14,0,0,0,0,1,1,Security Ministries,0.160794446,0.675413291,0,0,0,0,-1913,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434662,Cash loans,F,Y,Y,0,225000,531706.5,28975.5,459000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.020713,-22078,365243,-6563,-4928,1,0,0,1,0,0,2,3,3,TUESDAY,6,0,0,0,0,0,0,XNA,0.476107892,0.095070396,0,0,0,0,-467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
199612,Cash loans,F,Y,Y,3,297000,545040,43191,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561,-9947,-2031,-188,-504,1,1,0,1,1,0,5,1,1,THURSDAY,17,0,0,0,0,0,0,Business Entity Type 3,0.261581986,0.184116156,1,0,1,0,-576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
135676,Cash loans,F,Y,Y,1,202500,278712,22149,220500,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.008474,-9877,-252,-1729,-1504,1,1,0,1,0,0,3,2,2,TUESDAY,9,0,0,0,0,0,0,Business Entity Type 3,0.146589918,0.232724776,0,0,0,0,-646,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
200346,Cash loans,M,Y,Y,0,121500,781920,42547.5,675000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.003069,-19015,-2163,-11660,-1118,1,1,0,1,0,0,2,3,3,FRIDAY,11,0,0,0,0,0,0,Agriculture,0.540162456,0.249885063,3,0,3,0,-1112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264801,Cash loans,F,N,N,0,117000,269550,14620.5,225000,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.022625,-22720,-918,-2594,-4153,1,1,0,1,0,0,1,2,2,FRIDAY,19,0,0,0,0,0,0,Trade: type 7,0.009929503,0.132597495,0,0,0,0,-789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
226143,Cash loans,M,N,Y,2,180000,1147500,33682.5,1147500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221,-13271,-304,-900,-4468,1,1,1,1,0,0,4,2,2,SATURDAY,15,0,0,0,0,0,0,Trade: type 7,0.532326219,0.432961667,0,0,0,0,-571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
225885,Cash loans,M,Y,Y,2,252000,320382,15543,229500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,-13660,-1324,-4767,-5154,1,1,0,1,1,0,4,3,3,FRIDAY,5,0,0,0,0,0,0,Self-employed,0.145752061,,0,0,0,0,-525,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
405834,Cash loans,M,N,N,1,180000,679441.5,28917,549000,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.025164,-16175,-1696,-2683,-4543,1,1,0,1,0,0,3,2,2,WEDNESDAY,11,0,0,0,0,0,0,Self-employed,0.265311748,,0,0,0,0,-454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
325226,Cash loans,M,N,Y,0,112500,315000,15151.5,315000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-21277,-1564,-2621,-4697,1,1,0,1,0,0,2,2,2,MONDAY,15,0,0,0,0,0,0,School,0.694866876,0.443615308,2,2,2,2,-1355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
129996,Cash loans,M,N,Y,0,157500,545040,26640,450000,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.019101,-17177,-489,-3280,-705,1,1,0,1,1,0,1,2,2,SUNDAY,13,0,0,0,0,1,1,Self-employed,0.436568694,0.150085176,0,0,0,0,-1474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
416058,Cash loans,F,N,Y,0,157500,450000,27324,450000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.01452,-10222,-1370,-2414,-2897,1,1,0,1,0,0,2,2,2,FRIDAY,8,0,0,0,1,1,0,Self-employed,0.272014197,0.275000352,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
414457,Cash loans,F,N,N,0,135000,728460,38938.5,675000,Unaccompanied,Working,Secondary / secondary special,Widow,Municipal apartment,0.010966,-18746,-2514,-11780,-2257,1,1,0,1,1,0,1,2,2,WEDNESDAY,18,0,0,0,1,0,1,Business Entity Type 3,0.558857682,0.511891802,0,0,0,0,-1520,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
309607,Cash loans,F,N,N,0,67500,225000,11074.5,225000,Unaccompanied,Working,Higher education,Single / not married,With parents,0.019689,-10356,-2454,-5115,-2926,1,1,1,1,1,0,1,2,2,MONDAY,15,0,0,0,0,0,0,Housing,0.282494804,0.309275356,0,0,0,0,-1443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
205040,Cash loans,M,Y,N,0,236250,601470,30838.5,450000,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,0.009334,-13672,-768,-6284,-3800,1,1,0,1,0,1,2,2,2,WEDNESDAY,12,0,0,0,0,1,1,Self-employed,0.664412308,0.394495405,1,0,1,0,-1882,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
298971,Revolving loans,F,N,Y,0,112500,180000,9000,180000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.00823,-9717,-1745,-329,-622,1,1,0,1,0,0,2,2,2,WEDNESDAY,9,0,1,1,0,1,1,Trade: type 3,0.446970904,0.218859082,0,0,0,0,-206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381693,Cash loans,F,Y,Y,0,112500,835380,42781.5,675000,Family,Working,Secondary / secondary special,Married,House / apartment,0.035792,-16459,-1774,-3997,0,1,1,0,1,0,0,2,2,2,TUESDAY,12,0,0,0,0,0,0,Self-employed,0.252685539,0.255331771,0,0,0,0,-1027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
364939,Cash loans,F,N,Y,1,112500,1024740,52452,900000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.019689,-10369,-808,-3118,-2489,1,1,1,1,0,0,3,2,2,FRIDAY,7,0,0,0,0,1,1,Government,0.499285721,,1,0,1,0,-576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
